Name,Institution,Department,PHD Institution
Ryan Bachtell,University of Colorado Boulder,Behavioral Genetics,Oregon Health and Science University
Naomi Friedman,University of Colorado Boulder,Behavioral Genetics,University of Colorado Boulder
John K. Hewitt,University of Colorado Boulder,Behavioral Genetics,University of London
Richard K. Olson,University of Colorado Boulder,Behavioral Genetics,University of Oregon
Soo H. Rhee,University of Colorado Boulder,Behavioral Genetics,Emory University
Michael Stallings,University of Colorado Boulder,Behavioral Genetics,University of Southern California
Scott I. Vrieze,University of Colorado Boulder,Behavioral Genetics,University of Minnesota
Erik Willcutt,University of Colorado Boulder,Behavioral Genetics,University of Denver
Ryan Bachtell,University of Colorado Boulder,Behavioral Neuroscience,Oregon Health and Science University
Ruth Barrientos,University of Colorado Boulder,Behavioral Neuroscience,George Washington University
Daniel S. Barth,University of Colorado Boulder,Behavioral Neuroscience,UCLA
Serge Campeau,University of Colorado Boulder,Behavioral Neuroscience,Yale University
Theresa D. Hernández,University of Colorado Boulder,Behavioral Neuroscience,Univ
Steven F. Maier,University of Colorado Boulder,Behavioral Neuroscience,University of Pennsylvania
Randall C. O'Reilly,University of Colorado Boulder,Behavioral Neuroscience,Carnegie-Mellon University
Jerry W. Rudy,University of Colorado Boulder,Behavioral Neuroscience,University of Virginia
Michael Saddoris,University of Colorado Boulder,Behavioral Neuroscience,Johns Hopkins University
Robert L. Spencer,University of Colorado Boulder,Behavioral Neuroscience,University of Arizona
Linda R. Watkins,University of Colorado Boulder,Behavioral Neuroscience,Medical College of Virginia
Joanna Arch,University of Colorado Boulder,Clinical,UCLA
Sona Dimidjian,University of Colorado Boulder,Clinical,University of Washington
June Gruber,University of Colorado Boulder,Clinical,University of California at Berkeley
Kent Hutchison,University of Colorado Boulder,Clinical,Oklahoma State University
David J. Miklowitz,University of Colorado Boulder,Clinical,UCLA
Vijay A. Mittal,University of Colorado Boulder,Clinical,Emory University
Soo H. Rhee,University of Colorado Boulder,Clinical,Emory University
Emily Richardson,University of Colorado Boulder,Clinical,University of Iowa
Louise E. Silvern,University of Colorado Boulder,Clinical,UCLA
Scott I. Vrieze,University of Colorado Boulder,Clinical,University of Minnesota
Mark Whisman,University of Colorado Boulder,Clinical,University of Washington
Erik Willcutt,University of Colorado Boulder,Clinical,University of Denver
Marie Banich,University of Colorado Boulder,Cognitive,University of Chicago
McKell Carter,University of Colorado Boulder,Cognitive,California Institute of Technology
Eliana Colunga,University of Colorado Boulder,Cognitive,Indiana University
Tim Curran,University of Colorado Boulder,Cognitive,University of Oregon
Alice F. Healy,University of Colorado Boulder,Cognitive,The Rockefeller University
Matt Jones,University of Colorado Boulder,Cognitive,University of Michigan
Albert Kim,University of Colorado Boulder,Cognitive,University of Pennsylvania
Akira Miyake,University of Colorado Boulder,Cognitive,Carnegie-Mellon University
Yuko Munakata,University of Colorado Boulder,Cognitive,Carnegie-Mellon University
Richard K. Olson,University of Colorado Boulder,Cognitive,University of Oregon
Randall C. O'Reilly,University of Colorado Boulder,Cognitive,Carnegie-Mellon University
Tor Wager,University of Colorado Boulder,Cognitive,University of Michigan
Irene V. Blair,University of Colorado Boulder,Social,Yale University
Angela Bryan,University of Colorado Boulder,Social,Arizona State University
Josh Correll,University of Colorado Boulder,Social,University of Colorado Boulder
June Gruber,University of Colorado Boulder,Social,University of California at Berkeley
Tiffany Ito,University of Colorado Boulder,Social,University of Southern California
Charles M. Judd,University of Colorado Boulder,Social,Columbia University
A. Peter McGraw,University of Colorado Boulder,Social,Ohio State University
Bernadette Park,University of Colorado Boulder,Social,Northwestern University
Leaf Van Boven,University of Colorado Boulder,Social,Cornell University
Ruth Barrientos,University of Colorado Boulder,Research Faculty,George Washington University
Emily Richardson,University of Colorado Boulder,Research Faculty,University of Iowa
Barbara Weiland,University of Colorado Boulder,Research Faculty,Oakland University
Joseph Berta,University of Colorado Boulder,Instructors,University of Colorado Boulder
Heidi Day,University of Colorado Boulder,Instructors,University of Cambridge
Vyga Kaufmann,University of Colorado Boulder,Instructors,University of Colorado Boulder
D. Brett King,University of Colorado Boulder,Instructors,Colorado State University
Diane Martichuski,University of Colorado Boulder,Instructors,Colorado State University
Jennifer Schwartz,University of Colorado Boulder,Instructors,Emory University
Natalie Smutzler,University of Colorado Boulder,Instructors,Indiana University
Samantha Strife,University of Colorado Boulder,Instructors,Colorado State University
Geoff Urland,University of Colorado Boulder,Instructors,University of Colorado Boulder
Tina Pittman Wagers,University of Colorado Boulder,Instructors,University of Denver
Michael Freedman,University of Colorado Boulder,Lecturers,University of Colorado Boulder
Alexis Northcutt,University of Colorado Boulder,Lecturers,University of Colorado Boulder
Chelsea Pierotti,University of Colorado Boulder,Lecturers,University of Northern Colorado
Glenda Russell,University of Colorado Boulder,Lecturers,University of Colorado Boulder
