Name,Institution,Department,PHD Institution
Ryan Bachtell,University of Colorado Boulder,Department of Psychology and Neuroscience,Oregon Health and Science University
Naomi Friedman,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
John K. Hewitt,University of Colorado Boulder,Department of Psychology and Neuroscience,University of London
Richard K. Olson,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Oregon
Soo H. Rhee,University of Colorado Boulder,Department of Psychology and Neuroscience,Emory University
Michael Stallings,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Southern California
Scott I. Vrieze,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Minnesota
Erik Willcutt,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Denver
Ryan Bachtell,University of Colorado Boulder,Department of Psychology and Neuroscience,Oregon Health and Science University
Ruth Barrientos,University of Colorado Boulder,Department of Psychology and Neuroscience,George Washington University
Daniel S. Barth,University of Colorado Boulder,Department of Psychology and Neuroscience,UCLA
Serge Campeau,University of Colorado Boulder,Department of Psychology and Neuroscience,Yale University
Theresa D. Hernández,University of Colorado Boulder,Department of Psychology and Neuroscience,Univ
Steven F. Maier,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Pennsylvania
Randall C. O'Reilly,University of Colorado Boulder,Department of Psychology and Neuroscience,Carnegie-Mellon University
Jerry W. Rudy,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Virginia
Michael Saddoris,University of Colorado Boulder,Department of Psychology and Neuroscience,Johns Hopkins University
Robert L. Spencer,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Arizona
Linda R. Watkins,University of Colorado Boulder,Department of Psychology and Neuroscience,Medical College of Virginia
Joanna Arch,University of Colorado Boulder,Department of Psychology and Neuroscience,UCLA
Sona Dimidjian,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Washington
June Gruber,University of Colorado Boulder,Department of Psychology and Neuroscience,University of California at Berkeley
Kent Hutchison,University of Colorado Boulder,Department of Psychology and Neuroscience,Oklahoma State University
David J. Miklowitz,University of Colorado Boulder,Department of Psychology and Neuroscience,UCLA
Vijay A. Mittal,University of Colorado Boulder,Department of Psychology and Neuroscience,Emory University
Soo H. Rhee,University of Colorado Boulder,Department of Psychology and Neuroscience,Emory University
Emily Richardson,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Iowa
Louise E. Silvern,University of Colorado Boulder,Department of Psychology and Neuroscience,UCLA
Scott I. Vrieze,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Minnesota
Mark Whisman,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Washington
Erik Willcutt,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Denver
Marie Banich,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Chicago
McKell Carter,University of Colorado Boulder,Department of Psychology and Neuroscience,California Institute of Technology
Eliana Colunga,University of Colorado Boulder,Department of Psychology and Neuroscience,Indiana University
Tim Curran,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Oregon
Alice F. Healy,University of Colorado Boulder,Department of Psychology and Neuroscience,The Rockefeller University
Matt Jones,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Michigan
Albert Kim,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Pennsylvania
Akira Miyake,University of Colorado Boulder,Department of Psychology and Neuroscience,Carnegie-Mellon University
Yuko Munakata,University of Colorado Boulder,Department of Psychology and Neuroscience,Carnegie-Mellon University
Richard K. Olson,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Oregon
Randall C. O'Reilly,University of Colorado Boulder,Department of Psychology and Neuroscience,Carnegie-Mellon University
Tor Wager,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Michigan
Irene V. Blair,University of Colorado Boulder,Department of Psychology and Neuroscience,Yale University
Angela Bryan,University of Colorado Boulder,Department of Psychology and Neuroscience,Arizona State University
